"","OFNS_DESC","LAW_CAT_CD","BORO_NM","PREM_TYP_DESC","Latitude","Longitude"
"255254","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.83877887,-73.86470137
"43929","MISCELLANEOUS PENAL LAW","FELONY","MANHATTAN","STREET",40.71684872,-73.98955452
"53246","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","QUEENS","STREET",40.68414228,-73.85322842
"287983","ROBBERY","FELONY","BRONX","STREET",40.84606416,-73.84163045
"191702","MISCELLANEOUS PENAL LAW","FELONY","BROOKLYN","STREET",40.61210515,-73.95504136
"281249","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.83725235,-73.87150583
"163832","GRAND LARCENY","FELONY","QUEENS","STREET",40.72331555,-73.84077488
"300064","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.69437289,-73.95799703
"308323","OFFENSES INVOLVING FRAUD","MISDEMEANOR","MANHATTAN","STREET",40.70275121,-74.01421146
"202306","FELONY ASSAULT","FELONY","BROOKLYN","STREET",40.67182269,-73.89196169
"41664","PETIT LARCENY","MISDEMEANOR","MANHATTAN","STREET",40.73789441,-73.98090525
"319574","PETIT LARCENY","MISDEMEANOR","BROOKLYN","STREET",40.66572509,-73.88759558
"109619","ROBBERY","FELONY","BROOKLYN","STREET",40.58053684,-73.96158942
"164300","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.87289947,-73.88069348
"150551","MISCELLANEOUS PENAL LAW","FELONY","MANHATTAN","STREET",40.75942552,-73.99191579
"67355","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.82100716,-73.89689333
"119350","FELONY ASSAULT","FELONY","MANHATTAN","STREET",40.81541093,-73.9399113
"63170","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.87806608,-73.83482101
"256888","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.89581628,-73.84288279
"128187","DANGEROUS DRUGS","FELONY","BROOKLYN","STREET",40.59444305,-73.9648365
"248737","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","MANHATTAN","STREET",40.83191361,-73.9427403
"67055","MISCELLANEOUS PENAL LAW","FELONY","BROOKLYN","STREET",40.65368426,-73.95781001
"319127","VEHICLE AND TRAFFIC LAWS","MISDEMEANOR","BROOKLYN","STREET",40.70913631,-73.96410872
"318730","FELONY ASSAULT","FELONY","BROOKLYN","STREET",40.66156215,-73.92594596
"70729","CRIMINAL MISCHIEF & RELATED OF","FELONY","BROOKLYN","STREET",40.68846702,-73.9827151
"247185","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BROOKLYN","STREET",40.66179132,-73.90872393
"76803","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.7486008,-73.88504849
"255722","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.86940475,-73.87999832
"291143","DANGEROUS DRUGS","FELONY","QUEENS","STREET",40.77078129,-73.91726091
"237118","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","MANHATTAN","STREET",40.71672693,-73.98143798
"97144","PETIT LARCENY","MISDEMEANOR","BRONX","STREET",40.81671845,-73.91166179
"242104","VEHICLE AND TRAFFIC LAWS","MISDEMEANOR","QUEENS","STREET",40.77764174,-73.82156623
"107633","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.81940189,-73.8174403
"142166","GRAND LARCENY","FELONY","BROOKLYN","STREET",40.64472897,-73.94120009
"201971","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.69752812,-73.93717215
"194506","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",NA,NA
"298420","DANGEROUS WEAPONS","MISDEMEANOR","BRONX","STREET",40.8375116,-73.91059699
"256340","MISCELLANEOUS PENAL LAW","FELONY","BROOKLYN","STREET",40.65598596,-73.95472347
"61441","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN","STREET",40.62091354,-74.00680236
"199761","UNAUTHORIZED USE OF A VEHICLE","MISDEMEANOR","BROOKLYN","STREET",40.70434103,-73.91623972
"4150","OFFENSES INVOLVING FRAUD","MISDEMEANOR","QUEENS","STREET",40.60467651,-73.75563107
"88718","NYS LAWS-UNCLASSIFIED FELONY","FELONY","BROOKLYN","STREET",40.67134898,-73.88194082
"63107","FELONY ASSAULT","FELONY","BROOKLYN","STREET",40.6654814,-73.86751843
"45100","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.60582546,-73.75769046
"273857","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.68396367,-73.98955967
"124022","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.76434342,-73.76766564
"305519","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","QUEENS","STREET",40.68163656,-73.76556697
"292320","HARRASSMENT 2","VIOLATION","STATEN ISLAND","STREET",40.61197559,-74.06834365
"204390","MISCELLANEOUS PENAL LAW","FELONY","BROOKLYN","STREET",40.61245434,-73.92062306
"288592","ROBBERY","FELONY","BROOKLYN","STREET",40.66842238,-73.90166758
"146357","ROBBERY","FELONY","BROOKLYN","STREET",40.66399923,-73.92987577
"48951","DANGEROUS DRUGS","MISDEMEANOR","MANHATTAN","STREET",40.80168406,-73.93895929
"132233","ROBBERY","FELONY","BROOKLYN","STREET",40.68940548,-73.98111745
"58844","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.866352,-73.83695793
"230493","PETIT LARCENY","MISDEMEANOR","STATEN ISLAND","STREET",40.63947472,-74.11714812
"84810","ROBBERY","FELONY","QUEENS","STREET",40.72556067,-73.80665375
"250027","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.81797536,-73.91890027
"258923","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN","STREET",NA,NA
"250154","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.64089295,-73.94948737
"254350","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.84904399,-73.86462266
"68875","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.7060933,-73.76865494
"205197","NYS LAWS-UNCLASSIFIED FELONY","FELONY","MANHATTAN","STREET",40.72963672,-74.008401
"113011","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.63544826,-73.97911506
"46789","OFFENSES AGAINST THE PERSON","MISDEMEANOR","BRONX","STREET",40.80990693,-73.92880811
"155189","PETIT LARCENY","MISDEMEANOR","MANHATTAN","STREET",40.75604603,-73.98486687
"252673","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS","STREET",40.76492039,-73.86898122
"109329","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.83020623,-73.89553485
"250416","DANGEROUS WEAPONS","FELONY","BROOKLYN","STREET",40.69083058,-73.93661233
"77349","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BROOKLYN","STREET",40.68361369,-73.96742515
"112747","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","QUEENS","STREET",40.7020314,-73.91087606
"272910","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.6707719,-73.94207114
"46763","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN","STREET",40.63635782,-74.01404599
"314020","DANGEROUS DRUGS","MISDEMEANOR","MANHATTAN","STREET",40.7326891,-74.004721
"137468","PETIT LARCENY","MISDEMEANOR","BROOKLYN","STREET",40.62361769,-74.02357146
"80009","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN","STREET",40.66311494,-73.93864635
"160916","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN","STREET",40.79884121,-73.95201859
"34856","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN","STREET",40.62998435,-73.92321774
"113663","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.72754104,-73.87777872
"193053","ROBBERY","FELONY","BROOKLYN","STREET",40.64765717,-73.91423159
"223316","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.61643989,-73.90619615
"129503","PETIT LARCENY","MISDEMEANOR","BRONX","STREET",40.87868091,-73.8817788
"233502","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.68714962,-73.9833176
"1426","FRAUDS","MISDEMEANOR","QUEENS","STREET",40.70773205,-73.79631765
"209469","PETIT LARCENY","MISDEMEANOR","BROOKLYN","STREET",40.72091118,-73.94324693
"28937","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","QUEENS","STREET",40.68239828,-73.84007216
"135795","FELONY ASSAULT","FELONY","BROOKLYN","STREET",40.68162067,-73.95796901
"243634","GRAND LARCENY","FELONY","QUEENS","STREET",40.7676397,-73.88095425
"6878","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN","STREET",40.67206908,-73.90359806
"6400","MISCELLANEOUS PENAL LAW","FELONY","MANHATTAN","STREET",40.83412229,-73.94111945
"115563","GRAND LARCENY","FELONY","BROOKLYN","STREET",40.62848841,-74.01482249
"101335","CRIMINAL MISCHIEF & RELATED OF","FELONY","MANHATTAN","STREET",40.76609975,-73.96958693
"133503","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN","STREET",40.67621657,-73.93042172
"20393","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.75711905,-73.88091169
"147098","GRAND LARCENY OF MOTOR VEHICLE","FELONY","QUEENS","STREET",40.74218544,-73.92790972
"100559","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.87368018,-73.87923127
"244294","GRAND LARCENY","FELONY","BROOKLYN","STREET",40.68672074,-73.97905934
"74822","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.63407459,-73.96310785
"37387","POSSESSION OF STOLEN PROPERTY","MISDEMEANOR","QUEENS","STREET",40.71507634,-73.91326105
"180983","PETIT LARCENY","MISDEMEANOR","BROOKLYN","STREET",NA,NA
"144244","GRAND LARCENY","FELONY","MANHATTAN","STREET",40.72709781,-73.99154809
"254106","FORGERY","FELONY","BRONX","STREET",40.90612957,-73.84811484
"140822","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.85441888,-73.86293444
"311081","ROBBERY","FELONY","BROOKLYN","STREET",40.68781995,-73.92369202
"72674","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN","STREET",40.61218252,-74.00313493
"260124","ROBBERY","FELONY","BRONX","STREET",40.88993364,-73.85930232
"24137","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.81514998,-73.92546437
"223743","GRAND LARCENY OF MOTOR VEHICLE","FELONY","QUEENS","STREET",40.70313117,-73.90974932
"236451","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.75837537,-73.86763327
"270587","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BROOKLYN","STREET",40.68115945,-73.88256882
"6654","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.88690978,-73.91668601
"284491","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","QUEENS","STREET",40.75699945,-73.87177254
"22376","PETIT LARCENY","MISDEMEANOR","BRONX","STREET",40.89379596,-73.85313444
"191479","GRAND LARCENY OF MOTOR VEHICLE","FELONY","QUEENS","STREET",40.74462832,-73.8148844
"60993","","MISDEMEANOR","MANHATTAN","STREET",40.74357737,-73.9923219
"254003","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.82853137,-73.89794763
"270592","CRIMINAL MISCHIEF & RELATED OF","FELONY","BROOKLYN","STREET",40.64199494,-74.01875671
"70080","GRAND LARCENY","FELONY","MANHATTAN","STREET",40.79811971,-73.96912806
"44741","PETIT LARCENY","MISDEMEANOR","MANHATTAN","STREET",40.72557069,-73.98237356
"205001","DANGEROUS DRUGS","FELONY","BROOKLYN","STREET",40.68964821,-73.92405412
"207789","GRAND LARCENY","FELONY","BROOKLYN","STREET",40.69839253,-73.93201063
"172799","ROBBERY","FELONY","BRONX","STREET",40.81670371,-73.86522675
"257543","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.75266374,-73.72152153
"280161","ROBBERY","FELONY","BRONX","STREET",40.85412484,-73.89090286
"27473","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS","STREET",40.77149476,-73.92939794
"90198","ROBBERY","FELONY","BROOKLYN","STREET",40.67119457,-73.94203112
"3491","GRAND LARCENY","FELONY","BRONX","STREET",40.87112782,-73.87682782
"13827","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.85886528,-73.90360567
"217250","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN","STREET",40.68011929,-73.92548189
"58073","GRAND LARCENY","FELONY","BROOKLYN","STREET",40.60746606,-73.98533272
"51518","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.68909753,-73.92561609
"287673","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN","STREET",40.70467378,-73.94450867
"84137","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.71340646,-73.81138557
"205248","ROBBERY","FELONY","BROOKLYN","STREET",40.63667695,-74.02566583
"140140","DANGEROUS DRUGS","MISDEMEANOR","QUEENS","STREET",40.73002596,-73.82346891
"94271","FELONY ASSAULT","FELONY","MANHATTAN","STREET",40.82706793,-73.95201269
"104868","FELONY ASSAULT","FELONY","QUEENS","STREET",40.67949898,-73.86282526
"281439","ROBBERY","FELONY","BRONX","STREET",40.86106309,-73.89344741
"192433","DANGEROUS WEAPONS","MISDEMEANOR","BRONX","STREET",40.84768049,-73.9068026
